Name of Product/Game,Release Date,Inflation from that month
Super Mario 3D Land,2016-10-06,0.07235899999999873
Mario Kills Tanooki,2016-10-07,0.07235899999999873
Mario & Sonic at the London 2012 Olympic Games,2016-12-15,0.05175600000000102
Mario Kart 7,2017-03-10,0.000946999999999143
Super Mario Bros. X,2017-06-22,0.0845229999999999
Super Mario Flash 2,2017-07-06,0.06390300000000071
Mario 4: A Space Odyssey,2017-07-14,0.06390300000000071
Mario 3: Around the World,2017-08-29,0.03000100000000039
Mario Party 9,2017-10-27,0.09474500000000141
Super Mario RPG: Legend of the Five Pendants,2017-11-09,0.02349899999999927
Mario Tennis Open,2018-02-28,0.3246539999999989
New Super Mario Bros. 2,2018-06-22,0.018212000000000117
New Super Mario Bros. 2: Gold Coin Edition,2018-10-05,0.13563900000000118
Paper Mario: Sticker Star,2018-11-01,0.1110300000000004
New Super Mario Bros. U,2018-12-31,0.1110300000000004
Photos with Mario,2019-04-18,0.11215699999999984
Mario and Donkey Kong: Minis on the Move,2019-06-16,0.09162300000000023
Mario & Luigi: Dream Team,2019-06-28,0.09162300000000023
Mario Kart Arcade GP DX,2019-07-10,0.019886999999999766
Mario Party: Fushigi no Koro-koro Catcher 2,2019-09-25,0.09563100000000002
Mario & Sonic at the Sochi 2014 Olympic Winter Games,2019-11-01,0.20869600000000066
Super Mario 3D World,2019-11-21,0.20869600000000066
Mario Party: Island Tour,2020-06-10,0.0812020000000011
Mario Kart: Blazing Wheels,2020-06-29,0.0812020000000011
Super Mario Bros: Odyssey (Chapter 1),2020-07-17,0.00021000000000004349
Mario Golf: World Tour,2020-10-01,0.13015800000000066
Super Mario RPG: The Starlite Worlds,2020-10-15,0.13015800000000066
Mario Kart 8,2020-10-16,0.13015800000000066
Mario Kart 8: Limited Edition,2020-12-04,0.1046510000000005
Mario Land: Minigame Mayhem,2021-03-19,0.006698000000000981
Paper Mario 3D Land,2021-03-31,0.2478990000000003
Super Mario Bros. Z: The Game,2021-06-21,0.1207269999999987
Mario Cars 2: 64,2021-06-23,0.1207269999999987
Super Mario Dimensions,2021-06-24,0.1207269999999987
